disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,id,hash,lastRefresh
4694,2023-03-15T00:00:00.000Z,SEVERE WINTER STORM AND SNOWSTORM,2022-12-23T00:00:00.000Z,2022-12-28T00:00:00.000Z,Major Disaster,NY,New York,Snowstorm,2023-03-16T00:00:00.000Z,2023-03-16T00:00:00.000Z,,2,1,0,1,1,10919b86-0901-4ebc-8004-b199dcd25221,72f583618efcc7306eabe38c0492524ad33ec0f6,2023-03-18T13:22:06.532Z
4693,2023-03-15T00:00:00.000Z,SEVERE STORM AND FLOODING,2022-12-22T00:00:00.000Z,2022-12-25T00:00:00.000Z,Major Disaster,NH,New Hampshire,Severe Storm,2023-03-15T00:00:00.000Z,2023-03-15T00:00:00.000Z,,1,0,0,1,1,0b6abb1a-e846-47aa-9739-04b35bb1a158,00c2550e7102e7a7238d5c6279f75d8176a5e688,2023-03-18T13:22:06.532Z
4691,2023-03-08T00:00:00.000Z,SEVERE WINTER STORM,2022-12-22T00:00:00.000Z,2022-12-27T00:00:00.000Z,Major Disaster,TN,Tennessee,Winter Storm,2023-03-08T00:00:00.000Z,2023-03-08T00:00:00.000Z,,4,0,0,1,1,68c24ed2-3f35-49f2-9e58-572d2094d77c,2d3e9d876f4237843ff258bdc5ec57f7736b157c,2023-03-18T13:22:06.532Z
4692,2023-03-08T00:00:00.000Z,EARTHQUAKE,2022-12-20T00:00:00.000Z,2023-01-01T00:00:00.000Z,Major Disaster,CA,California,Earthquake,2023-03-08T00:00:00.000Z,2023-03-08T00:00:00.000Z,,9,0,0,1,1,5cbc8c79-d21c-46da-aa48-2dae464f294e,9cfa08515478fdc74f7ae329b2a38f3650599043,2023-03-18T13:22:06.532Z
4690,2023-03-03T00:00:00.000Z,SEVERE WINTER STORM,2022-12-21T00:00:00.000Z,2022-12-25T00:00:00.000Z,Major Disaster,OK,Oklahoma,Severe Storm,2023-03-03T00:00:00.000Z,2023-03-03T00:00:00.000Z,,6,0,0,1,1,d061ff25-9f12-424c-b1b4-deac50cee2b7,6ea7c10722beff1e29716ce3c6cf2756da7ca319,2023-03-18T13:22:06.532Z
4688,2023-02-20T00:00:00.000Z,SEVERE WINTER STORMS AND SNOWSTORM,2022-12-12T00:00:00.000Z,2022-12-25T00:00:00.000Z,Major Disaster,SD,South Dakota,Winter Storm,2023-02-21T00:00:00.000Z,2023-02-21T00:00:00.000Z,,8,0,0,1,1,52a2ec08-9f6f-4b83-8d81-44fae477ce07,371bf0b0391bccb02d1c5ca91fe9827013a78b67,2023-03-18T13:22:06.532Z
4687,2023-02-20T00:00:00.000Z,SEVERE WINTER STORMS AND SNOWSTORM,2022-12-12T00:00:00.000Z,2022-12-25T00:00:00.000Z,Major Disaster,SD,South Dakota,Winter Storm,2023-02-21T00:00:00.000Z,2023-02-21T00:00:00.000Z,,8,0,0,1,1,47b58c29-04b9-43f9-bf04-586d0f77fb34,9d939e43b688a9d2ca7cb475a4b6000a6ba02e66,2023-03-18T13:22:06.532Z
4686,2023-02-05T00:00:00.000Z,"SEVERE WINTER STORM, SNOWSTORM, AND STRAIGHT-LINE WINDS",2022-11-09T00:00:00.000Z,2022-11-11T00:00:00.000Z,Major Disaster,ND,North Dakota,Snowstorm,2023-02-06T00:00:00.000Z,2023-02-06T00:00:00.000Z,,8,0,0,1,1,86a8f7db-8f1a-4e8f-8e8a-36fcc2efc8d7,5a62f8208b34600b96c9f163b1450f8fde7e9717,2023-03-18T13:22:06.532Z
4685,2023-01-16T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",2023-01-12T00:00:00.000Z,2023-01-12T00:00:00.000Z,Major Disaster,GA,Georgia,Severe Storm,2023-01-17T00:00:00.000Z,2023-02-11T00:00:00.000Z,,4,1,0,1,1,643e619c-7b5e-4d2d-bfba-08a89cd2839a,791ab5bae58c759d4914ac3ad15324ab68f964e5,2023-03-18T13:22:06.532Z
4684,2023-01-15T00:00:00.000Z,"SEVERE STORMS, STRAIGHT-LINE WINDS, AND TORNADOES",2023-01-12T00:00:00.000Z,2023-01-12T00:00:00.000Z,Major Disaster,AL,Alabama,Severe Storm,2023-01-15T00:00:00.000Z,2023-02-04T00:00:00.000Z,,4,1,0,1,1,32dbee75-38d0-4f2a-abcb-879c24fecfbd,5c5187abfc64080a2001159e1217e710ae84a73a,2023-03-18T13:22:06.532Z
4682,2023-01-12T00:00:00.000Z,"SEVERE WINTER STORM, STRAIGHT-LINE WINDS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-11-03T00:00:00.000Z,2022-11-08T00:00:00.000Z,Major Disaster,WA,Washington,Severe Storm,2023-01-12T00:00:00.000Z,2023-02-28T00:00:00.000Z,,10,0,0,1,1,5d9e3f1b-24e2-4746-a779-915eeea78f0f,a8f029a567f288042501862e625e7f397d3b62c1,2023-03-18T13:22:06.532Z
3591,2023-01-09T00:00:00.000Z,"SEVERE WINTER STORMS, FLOODING, AND MUDSLIDES",2023-01-08T00:00:00.000Z,2023-01-31T00:00:00.000Z,Emergency,CA,California,Flood,2023-01-09T00:00:00.000Z,2023-02-06T00:00:00.000Z,,9,0,0,1,0,74031bc8-6ef7-4284-b1a7-0d0282dcc6a5,107f270d853ee92f3b7bcf4857caa747629beeea,2023-03-18T13:22:06.532Z
4681,2022-12-30T00:00:00.000Z,FLOODING,2022-10-01T00:00:00.000Z,2022-10-02T00:00:00.000Z,Major Disaster,AZ,Arizona,Flood,2022-12-31T00:00:00.000Z,2023-02-21T00:00:00.000Z,,9,0,0,1,1,226948d7-6f32-4ae8-bc0e-f2058283d7d1,dd87256ccf270e718623d83ead805af1282367ca,2023-03-18T13:22:06.532Z
3590,2022-12-26T00:00:00.000Z,SEVERE WINTER STORM,2022-12-23T00:00:00.000Z,2022-12-28T00:00:00.000Z,Emergency,NY,New York,Winter Storm,2022-12-27T00:00:00.000Z,2023-02-01T00:00:00.000Z,,2,0,0,1,0,d1f4733f-44ec-4c9e-9aef-34fcde97b72a,3c27c2d4cdb2fe09943c4cbef2160142c3bba5f9,2023-03-18T13:22:06.532Z
4680,2022-12-13T00:00:00.000Z,HURRICANE NICOLE,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,Major Disaster,FL,Florida,Hurricane,2022-12-14T00:00:00.000Z,2022-12-22T00:00:00.000Z,,4,1,0,1,1,cdd77ed4-e60c-48bd-b2e7-c4b3a017ec01,3e47740b5b0dfcfdf4c50017bddee1c536d85541,2023-03-18T13:22:06.532Z
4679,2022-11-28T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-08-14T00:00:00.000Z,2022-08-15T00:00:00.000Z,Major Disaster,WV,West Virginia,Severe Storm,2022-11-29T00:00:00.000Z,2022-11-29T00:00:00.000Z,,3,0,0,1,1,fcd84f72-ece2-4e0a-a534-79024e2ced6a,d8e82fe14e4bf4103caf44c3ff1b4e62d4fd948c,2023-03-18T13:22:06.532Z
4678,2022-11-28T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2022-07-12T00:00:00.000Z,2022-07-13T00:00:00.000Z,Major Disaster,WV,West Virginia,Flood,2022-11-29T00:00:00.000Z,2022-11-29T00:00:00.000Z,,3,0,0,1,1,734e7b5b-3378-4bd8-9e51-ad5508adb955,4bdeb0bac975200dcfcd66b0c481332df98fd12f,2023-03-18T13:22:06.532Z
4677,2022-11-21T00:00:00.000Z,HURRICANE IAN,2022-09-25T00:00:00.000Z,2022-10-04T00:00:00.000Z,Major Disaster,SC,South Carolina,Hurricane,2022-11-22T00:00:00.000Z,2023-01-19T00:00:00.000Z,,4,1,0,1,1,9cb45886-4045-46e9-a7a8-ff5974e612ff,fd7786a30ce6f8c2140f7150ff452f74eee8d558,2023-03-18T13:22:06.532Z
3589,2022-11-20T00:00:00.000Z,SEVERE WINTER STORM AND SNOWSTORM,2022-11-18T00:00:00.000Z,2022-11-21T00:00:00.000Z,Emergency,NY,New York,Winter Storm,2022-11-21T00:00:00.000Z,2022-12-09T00:00:00.000Z,,2,0,0,1,0,c4de0a13-923e-4aa6-a80d-80e855c1e9b2,4a704532d39580f6b7ac17b009f704999f536e97,2023-03-18T13:22:06.532Z
3587,2022-11-08T00:00:00.000Z,TROPICAL STORM NICOLE,2022-11-07T00:00:00.000Z,2022-11-30T00:00:00.000Z,Emergency,FL,Florida,Tropical Storm,2022-11-09T00:00:00.000Z,2023-02-28T00:00:00.000Z,2023-02-21T00:00:00.000Z,4,0,0,1,0,0b9bdcbe-83df-4d1a-b81b-5b45cbff0876,a80c174d41d7d9f543b70e9a7a336eadc6c5fc54,2023-03-18T13:22:06.532Z
5456,2022-10-17T00:00:00.000Z,NAKIA CREEK FIRE,2022-10-09T00:00:00.000Z,,Fire Management,WA,Washington,Fire,2022-10-17T00:00:00.000Z,2022-10-17T00:00:00.000Z,,10,0,0,1,1,d1bd6449-88b1-4e38-890f-9edfdfcc28b8,86480dee7d3a303c5917138ce7e5432ee84241b7,2023-03-18T13:22:06.532Z
4676,2022-10-14T00:00:00.000Z,SEVERE STORM AND FLOODING,2022-07-25T00:00:00.000Z,2022-07-28T00:00:00.000Z,Major Disaster,IL,Illinois,Flood,2022-10-17T00:00:00.000Z,2022-10-17T00:00:00.000Z,,5,1,0,0,1,b1b22ba4-6bae-4523-b24a-f0c80cab5741,4c24f9fa781befebb12dca1f816e06a0613addfc,2023-03-18T13:22:06.532Z
3586,2022-10-01T00:00:00.000Z,HURRICANE IAN,2022-09-28T00:00:00.000Z,2022-10-04T00:00:00.000Z,Emergency,NC,North Carolina,Hurricane,2022-10-01T00:00:00.000Z,2022-10-21T00:00:00.000Z,,4,0,0,1,0,abb94250-e9d9-4f7f-9e58-259b4edf1e52,9cc9e2cde42aa9fb6cdf25163769fcc6a9032656,2023-03-18T13:22:06.532Z
4675,2022-09-30T00:00:00.000Z,HURRICANE IAN - SEMINOLE TRIBE OF FLORIDA,2022-09-23T00:00:00.000Z,2022-11-04T00:00:00.000Z,Major Disaster,FL,Florida,Hurricane,2022-10-01T00:00:00.000Z,2022-12-09T00:00:00.000Z,,4,1,0,1,1,5035cb94-3d59-4f67-80b2-f4b78e8331d4,ef6336eaf9f6e630c94c3002e326e6f8e0fdf215,2023-03-18T13:22:06.532Z
4674,2022-09-30T00:00:00.000Z,FLOODING AND MUDSLIDES,2022-07-13T00:00:00.000Z,2022-07-14T00:00:00.000Z,Major Disaster,VA,Virginia,Severe Storm,2022-09-30T00:00:00.000Z,2022-09-30T00:00:00.000Z,,3,0,0,1,1,2dfff70c-d531-455e-aa39-76cfed2be597,b1a29f6290b67de70dd1d2a1ad92c2457df989cc,2023-03-18T13:22:06.532Z
3585,2022-09-29T00:00:00.000Z,HURRICANE IAN,2022-09-25T00:00:00.000Z,2022-10-04T00:00:00.000Z,Emergency,SC,South Carolina,Hurricane,2022-09-30T00:00:00.000Z,2022-10-21T00:00:00.000Z,,4,0,0,1,0,26c2669e-b048-4cf3-b321-72f221d82a44,095785ff64d8ed7f0d660a12002c34e5a4455026,2023-03-18T13:22:06.532Z
